	name	fold	tstat	pvalue	anova	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	t1_0	t2_60	t3_180	metlin	10-0	13-0	14-0	15-0	16-0	17-0	18-0	2-0	3-0	4-0	5-0	6-0	7-0	9-0	10-60	13-60	14-60	15-60	16-60	17-60	18-60	2-60	3-60	4-60	5-60	6-60	7-60	9-60	10-180	13-180	14-180	15-180	16-180	17-180	18-180	2-180	3-180	4-180	5-180	6-180	7-180	9-180
1	M231T435	2.0426555575945	3.48053323292637	0.00235177944247433	0.0498377351791216	231.136049562793	231.075656996752	231.155151001833	435.1955	432.846	436.94	14	1	9	4	http://metlin.scripps.edu/metabo_list.php?mass_min=229.99&mass_max=230.29	6845679.92366016	3426131.45916344	2452726.62764981	4892209.67109375	3840359.96368434	2394885.57556531	2932988.29879019	1488054.88322918	6956811.84825678	1933179.02314956	2293265.7355873	1874945.57822007	2552152.50403593	2230656.46308774	9881528.61018381	5118674.21614897	4880339.86837348	4825614.84242014	5298570.945925	6456964.6806527	15110833.1936379	7410529.29682099	8107838.22470239	7168746.46167466	6012670.52424598	3016879.02027663	1932259.15216268	8973666.48452695	2615644.15599744	2537908.52564987	2310617.79521198	2202250.72371487	2690056.57087566	8828771.60781801	18586944.419122	2161857.74724993	12003816.6878123	3174172.57335435	3215437.02197008	5921060.94145313	919122.004488708	2351286.6567556
2	M190T985	1.8284813859421	3.10879329315235	0.0057046215401968	0.00108171295292675	190.129937534412	190.088873234206	190.149858276114	985.406	981.581	995.21	15	3	9	3	http://metlin.scripps.edu/metabo_list.php?mass_min=188.98&mass_max=189.28	6870360.89889576	3433439.94929405	3073096.05214429	4031518.58330688	2272973.93676513	2375303.80922447	3866520.55950411	3768856.43810202	7923842.12215339	2868261.28810205	2986150.58165031	2684429.55179818	3456852.14206079	2315717.60677368	9602823.72321766	4866887.30798145	5880247.19386439	3189155.6332215	3024172.44651507	4791397.49815584	9287110.39631448	12758237.5292785	10661110.02	7635258.9980826	10591987.2400716	3112100.77499525	3345467.73755852	6202187.97844544	1327879.87088451	750505.157318053	889443.107795033	756574.487082476	571974.977522387	4145284.56931536	7939476.60297074	3908299.13637561	5663468.27327584	3311326.99989427	6498211.85616952	5503511.13193749	670946.158010397	1200773.58179596
3	M172T914	1.74469487460901	3.03686987493131	0.00726140344165271	0.000111490362583811	172.075178966039	172.066795874448	172.111413721352	914.375	910.049	924.532	29	11	12	6	http://metlin.scripps.edu/metabo_list.php?mass_min=170.93&mass_max=171.23	7395725.11444014	13106918.7717627	7421907.08618926	9666085.73331309	7735631.14219843	6202036.87682286	4582656.84702557	2864472.17405097	8273985.09534958	11069952.824736	11890722.3903453	8266607.40662299	13543097.153678	7928037.12280035	11113248.8797345	16474915.8369563	10669621.7765867	14395151.2899284	3671077.90247387	13406454.927597	8880740.54440587	25916829.3035366	23073777.3182513	24880008.5434068	25264699.2938091	8088748.50034942	8542298.02097135	14894802.096854	1990715.26171485	2012330.85377355	1528923.60432906	2128255.86778516	1229463.22746292	7878008.59945456	3741652.56315376	6611342.09511323	16036719.1670312	6873324.74954062	10605818.8227268	12361060.4141997	1085374.28940095	2707928.13756862
4	M189T986	1.73547515317963	2.91794694238854	0.00804697232801344	0.000953063046366826	189.135890188775	189.126846760875	189.168687456345	986.302	980.595	997.185	42	14	14	14	http://metlin.scripps.edu/metabo_list.php?mass_min=187.99&mass_max=188.29	66950487.2962324	31259663.906949	32863543.6490732	37723674.6559653	20191023.6810397	25919795.9198588	38108626.4753245	47979040.8391606	91544907.4099432	32488220.4646077	34501544.1915831	23933201.6010938	32514140.3241289	24828389.3125	85766102.1538248	45072794.8998235	57572086.5389646	37323169.5379012	32749091.7787294	43101585.9428164	92160432.1334284	124727701.619771	99356452.7912415	78451853.9080154	108569234.242659	29377886.222904	42133141.0191146	62194293.6518256	14906094.202472	9061645.02253683	9195730.07831901	6531742.21217728	6933910.26950404	42336579.8206484	65744554.3495291	46835656.9859433	58182475.1882563	42740143.6667479	20236114.2694508	72699991.7332385	8378506.30647578	12629874.0897464
5	M259T290	1.60265494605161	2.82650593547519	0.010128048402025	0.0416138212101835	259.144161119657	259.129592040678	259.161571600382	289.897	283.933	291.194	9	1	7	1	http://metlin.scripps.edu/metabo_list.php?mass_min=257.99&mass_max=258.29	5443738.42190635	4174780.10759699	2455865.43878815	4658649.19015459	2468312.20759037	3453040.05032032	5042802.01969737	1382500.70077361	5054095.64460468	2527137.22001022	2399210.1032577	2278440.68833889	1846338.42888165	3131234.34988214	6322910.6573858	6142412.28461161	4663804.9110745	6021630.67342176	2225922.05744385	3434541.39442169	9129221.19582556	7145731.88067778	6439992.09534348	6918746.59177298	2530529.72020092	2973719.84001452	2241207.75945175	8038427.11839524	3026225.74929199	1875468.70695454	1558361.38036408	2070178.22250381	1571597.79147886	3636004.46025937	13752096.4188188	2181165.29467064	4574622.66200506	1794324.9007754	2193320.30865099	3212041.14982206	748233.188281251	2424334.73556621
6	M356T451	1.81159121689632	2.80125737471137	0.0103220127298362	0.00121202332645018	356.351036933377	356.300226434208	356.411994231652	451.103	444.09	455.056	31	11	13	7	http://metlin.scripps.edu/metabo_list.php?mass_min=355.2&mass_max=355.5	51759283.397919	27734249.4761354	18021339.6916904	35985535.3512327	16084248.283428	20820557.5863226	17980968.0931368	9740151.57102904	72779339.555177	29620721.3665792	22580329.2431553	19711469.3550153	38610411.0388594	17563219.9113481	49361512.6117246	42627629.3238499	35581060.5289368	53251722.176108	14863922.7047985	58748770.8577453	40003498.4595441	107997200.459121	97375840.0676441	66994358.1773008	52746268.3723762	23345637.1188048	28437942.3717165	51474720.5991075	10187343.1074717	9851618.97541557	6919313.37180892	10870766.1127645	7989456.2100964	27866341.5888504	43619689.3199197	26252281.5777016	64290377.9006185	17880415.3020089	36015788.0819302	32722819.8450667	8417837.63105536	10821415.7736788
7	M257T246	2.3939833179593	2.7899272683175	0.0108849838687202	0.00839316970344652	257.143231812663	257.083783073585	257.207533038541	246.042	243.733	257.524	41	14	14	13	http://metlin.scripps.edu/metabo_list.php?mass_min=255.99&mass_max=256.29	67966723.1974293	25140809.6757912	33185987.241795	15224210.6426689	15414616.2352632	20805999.3481222	62167896.4928219	15846191.148856	203906426.529714	70266683.7593408	52968217.4782016	11221397.5998983	104810722.32923	48069040.5922456	115193629.715705	58996716.0049936	55548730.7869901	99244545.6027969	34055448.0615668	80944035.5677598	195714672.279144	194579338.952164	268447747.568558	289093402.383792	193970708.71689	31930452.8404751	61495286.243153	109078667.793994	9382081.15518062	6600862.96995034	6267887.46647922	8812975.72820893	6644473.64168017	51586108.9318227	123912243.973767	50447742.285589	224214221.339541	66400039.8471538	84245721.9416969	111595500.471812	5899853.0096778	8366660.13593182
8	M204T919	1.56751175818753	2.72458421464325	0.0127569560978826	0.000265685817897144	204.122836426768	204.073724983178	204.137194605501	919.2525	915.6	927.9	16	6	10	0	http://metlin.scripps.edu/metabo_list.php?mass_min=202.97&mass_max=203.27	6562554.54440124	16775569.5610686	10518712.7865607	9689009.64442159	10243150.1294583	7692554.64039586	7043995.1563671	4203016.46937139	12560562.6315832	16018173.6707883	16778227.4480882	10484236.1977428	19322709.4978853	11632682.9360473	10788926.5663157	20298505.615604	15138356.1558929	16754908.3983872	6325512.86512535	14578286.9746069	11806925.3054593	27389195.9353594	26748970.1400347	26600717.0568461	32308580.839429	12345107.8656799	11754121.0990662	17219441.8638625	2609348.05882159	2522743.60950381	2381425.95633708	2753824.40158249	1591417.62953208	10590712.0358982	6716182.81534245	8802667.87595703	16606533.383393	10561691.1582601	15000033.5287358	18454742.116522	1020143.00000042	3371647.851016
9	M84T985	1.64369396864955	2.67804831116021	0.0138056294398416	0.00559715451544495	84.3357836626413	84.3210049122013	84.3652821726275	985.082	979.025	995.551	27	10	10	7	http://metlin.scripps.edu/metabo_list.php?mass_min=83.19&mass_max=83.49	20636640.3564403	8508059.90844491	9509245.0302297	15808329.1902339	5384309.76811241	7760457.97851011	15968332.1900484	11855141.7514513	23521075.4096619	8980336.76689233	9035984.77218397	6267517.92853822	9135285.97962873	8155510.88944763	24531021.7655958	13006760.1821203	17976659.4357684	10396165.92354	7887336.39458283	11986905.3966446	27091811.1134449	32906943.3787985	26341171.5522306	24032256.5394785	30444507.9407312	7508406.97369636	10089620.9605954	19656425.0846499	3373025.71348021	2118091.81199009	2722686.80752661	1692440.46201246	1618784.66886527	12005950.8861494	26465984.3262213	13426539.8047743	15858467.2229681	10958595.5415646	16599815.170487	20017526.4793046	1749067.61653215	3627799.37915624
10	M71T917	1.68392737778458	2.71200600647901	0.0139344875315408	0.00040953752794058	70.5260952115519	70.4755331373104	70.5376220157726	916.52	911.988	921.279	17	4	10	3	http://metlin.scripps.edu/metabo_list.php?mass_min=69.38&mass_max=69.68	1825483.852656	3452665.36980836	1886106.67968559	2477878.62740142	2600802.0509531	1662232.67354327	1631676.49229369	1111629.73493697	3226545.1873586	4514130.25402188	3892230.12636079	2912154.75427163	4795744.07171734	2293315.84562838	2648554.45822782	4853449.35116632	3237377.9961407	4079625.66828473	1075645.01762471	3733628.56192913	2724715.09895544	7727307.42389935	7310658.84309734	7480683.97647666	8711907.9047269	4025019.23572151	2408491.92039415	4448045.56999466	587890.587146077	428153.401228414	450720.857440398	365434.420136789	242429.058595213	2036563.12442275	1050962.87010915	2204699.69275127	4631962.43166358	2204459.58227388	3769842.8862483	4969745.05769438	289714.891897557	762016.169660141
